date,event,player_a,player_b,score_a,odds_a,odds_b
2022-11-07,Demo 4.161,M. Rossi,K. Mbaye,0,1.68,2.05
2022-11-09,Demo 4.162,H. Van Dijk,I. Costa,1,1.9,1.95
2022-11-11,Demo 4.163,P. Doyle,O. Silva,1,2.1,1.78
2022-11-13,Demo 4.164,I. Costa,D. Moreau,1,2.28,1.54
2022-11-15,Demo 4.165,D. Moreau,K. Mbaye,0,1.62,2.24
2022-11-17,Demo 4.166,G. Petrov,J. Schmidt,1,1.81,2.02
2022-11-19,Demo 4.167,B. Ferreira,C. Lindqvist,0,1.95,1.79
2022-11-21,Demo 4.168,B. Ferreira,C. Lindqvist,1,1.85,1.72
2022-11-23,Demo 4.169,A. Novak,O. Silva,1,1.77,2.1
2022-11-25,Demo 4.170,P. Doyle,N. Berg,0,2.44,1.5
2022-11-27,Demo 4.171,E. Tanaka,M. Rossi,0,2.39,1.66
2022-11-29,Demo 4.172,K. Mbaye,O. Silva,1,1.62,2.44
2022-12-01,Demo 4.173,M. Rossi,C. Lindqvist,0,1.61,2.4
2022-12-03,Demo 4.174,E. Tanaka,J. Schmidt,1,2.14,1.79
2022-12-05,Demo 4.175,B. Ferreira,O. Silva,1,1.76,2.23
2022-12-07,Demo 4.176,A. Novak,O. Silva,0,1.71,2.29
2022-12-09,Demo 4.177,N. Berg,F. O'Connell,1,1.53,2.54
2022-12-11,Demo 4.178,M. Rossi,F. O'Connell,1,1.43,3.21
2022-12-13,Demo 4.179,D. Moreau,G. Petrov,1,1.7,2.03
2022-12-15,Demo 4.180,N. Berg,E. Tanaka,1,1.84,2.17
2022-12-17,Demo 5.1,D. Moreau,I. Costa,1,1.59,2.41
2022-12-19,Demo 5.2,E. Tanaka,G. Petrov,0,2.13,1.61
2022-12-21,Demo 5.3,N. Berg,J. Schmidt,0,1.86,1.9
2022-12-23,Demo 5.4,P. Doyle,C. Lindqvist,0,2.44,1.61
2022-12-25,Demo 5.5,J. Schmidt,P. Doyle,1,1.49,2.36
2022-12-27,Demo 5.6,H. Van Dijk,P. Doyle,0,1.61,2.29
2022-12-29,Demo 5.7,M. Rossi,P. Doyle,1,1.42,2.74
2022-12-31,Demo 5.8,A. Novak,M. Rossi,1,2.16,1.53
2023-01-02,Demo 5.9,N. Berg,B. Ferreira,1,1.77,1.96
2023-01-04,Demo 5.10,M. Rossi,J. Schmidt,0,1.74,1.94
2023-01-06,Demo 5.11,B. Ferreira,M. Rossi,0,2.47,1.59
2023-01-08,Demo 5.12,J. Schmidt,D. Moreau,1,2.29,1.73
2023-01-10,Demo 5.13,H. Van Dijk,J. Schmidt,1,2.06,1.72
2023-01-12,Demo 5.14,I. Costa,M. Rossi,0,2.4,1.66
2023-01-14,Demo 5.15,G. Petrov,I. Costa,0,1.69,2.33
2023-01-16,Demo 5.16,L. Kowalski,F. O'Connell,0,1.41,2.76
2023-01-18,Demo 5.17,G. Petrov,H. Van Dijk,1,1.72,2.24
2023-01-20,Demo 5.18,C. Lindqvist,I. Costa,1,1.74,2.0
2023-01-22,Demo 5.19,I. Costa,O. Silva,1,1.73,2.25
2023-01-24,Demo 5.20,P. Doyle,M. Rossi,0,2.86,1.4
2023-01-26,Demo 5.21,O. Silva,P. Doyle,1,1.8,1.93
2023-01-28,Demo 5.22,H. Van Dijk,K. Mbaye,0,2.11,1.78
2023-01-30,Demo 5.23,L. Kowalski,I. Costa,1,1.52,2.62
2023-02-01,Demo 5.24,K. Mbaye,B. Ferreira,1,1.72,2.03
2023-02-03,Demo 5.25,G. Petrov,O. Silva,1,1.58,2.37
2023-02-05,Demo 5.26,G. Petrov,D. Moreau,0,2.04,1.79
2023-02-07,Demo 5.27,G. Petrov,N. Berg,1,1.72,1.87
2023-02-09,Demo 5.28,P. Doyle,J. Schmidt,1,2.28,1.66
2023-02-11,Demo 5.29,P. Doyle,F. O'Connell,0,1.77,1.99
2023-02-13,Demo 5.30,P. Doyle,C. Lindqvist,0,2.28,1.62
2023-02-15,Demo 5.31,H. Van Dijk,M. Rossi,0,2.38,1.66
2023-02-17,Demo 5.32,L. Kowalski,G. Petrov,0,1.61,2.45
2023-02-19,Demo 5.33,D. Moreau,L. Kowalski,1,2.13,1.75
2023-02-21,Demo 5.34,D. Moreau,F. O'Connell,1,1.4,2.98
2023-02-23,Demo 5.35,I. Costa,D. Moreau,0,2.1,1.57
2023-02-25,Demo 5.36,N. Berg,L. Kowalski,0,2.52,1.53
2023-02-27,Demo 5.37,O. Silva,C. Lindqvist,0,2.34,1.64
2023-03-01,Demo 5.38,H. Van Dijk,I. Costa,1,1.96,1.85
2023-03-03,Demo 5.39,E. Tanaka,H. Van Dijk,1,1.89,1.82
2023-03-05,Demo 5.40,K. Mbaye,M. Rossi,0,2.11,1.62
2023-03-07,Demo 5.41,B. Ferreira,G. Petrov,1,2.11,1.71
2023-03-09,Demo 5.42,D. Moreau,H. Van Dijk,1,1.59,2.28
2023-03-11,Demo 5.43,I. Costa,F. O'Connell,0,1.52,2.46
2023-03-13,Demo 5.44,F. O'Connell,M. Rossi,0,2.98,1.38
2023-03-15,Demo 5.45,O. Silva,P. Doyle,1,1.75,1.88
2023-03-17,Demo 5.46,K. Mbaye,G. Petrov,0,2.1,1.93
2023-03-19,Demo 5.47,C. Lindqvist,B. Ferreira,1,1.83,1.95
2023-03-21,Demo 5.48,M. Rossi,E. Tanaka,0,1.6,2.58
2023-03-23,Demo 5.49,O. Silva,G. Petrov,1,2.24,1.56
2023-03-25,Demo 5.50,C. Lindqvist,D. Moreau,1,2.28,1.61
2023-03-27,Demo 5.51,P. Doyle,I. Costa,0,2.24,1.6
2023-03-29,Demo 5.52,E. Tanaka,B. Ferreira,0,1.84,1.97
2023-03-31,Demo 5.53,H. Van Dijk,L. Kowalski,1,2.43,1.49
2023-04-02,Demo 5.54,L. Kowalski,N. Berg,0,1.53,2.54
2023-04-04,Demo 5.55,I. Costa,P. Doyle,0,1.58,2.24
2023-04-06,Demo 5.56,N. Berg,I. Costa,0,1.93,2.1
2023-04-08,Demo 5.57,P. Doyle,I. Costa,0,2.25,1.65
2023-04-10,Demo 5.58,A. Novak,P. Doyle,1,1.61,2.4
2023-04-12,Demo 5.59,J. Schmidt,H. Van Dijk,1,1.77,2.08
2023-04-14,Demo 5.60,N. Berg,M. Rossi,1,2.17,1.69
2023-04-16,Demo 5.61,L. Kowalski,D. Moreau,1,1.68,2.05
2023-04-18,Demo 5.62,M. Rossi,N. Berg,1,1.7,2.07
2023-04-20,Demo 5.63,H. Van Dijk,I. Costa,0,2.11,1.91
2023-04-22,Demo 5.64,I. Costa,G. Petrov,1,2.12,1.68
2023-04-24,Demo 5.65,D. Moreau,K. Mbaye,0,1.7,2.22
2023-04-26,Demo 5.66,E. Tanaka,A. Novak,0,1.72,1.88
2023-04-28,Demo 5.67,J. Schmidt,E. Tanaka,1,1.75,2.0
2023-04-30,Demo 5.68,G. Petrov,F. O'Connell,1,1.44,2.97
2023-05-02,Demo 5.69,L. Kowalski,H. Van Dijk,1,1.51,2.61
2023-05-04,Demo 5.70,I. Costa,M. Rossi,0,2.41,1.62
2023-05-06,Demo 5.71,I. Costa,N. Berg,0,2.05,1.79
2023-05-08,Demo 5.72,O. Silva,D. Moreau,0,2.47,1.49
2023-05-10,Demo 5.73,D. Moreau,I. Costa,1,1.63,2.12
2023-05-12,Demo 5.74,F. O'Connell,K. Mbaye,0,2.74,1.52
2023-05-14,Demo 5.75,D. Moreau,E. Tanaka,1,1.61,2.17
2023-05-16,Demo 5.76,D. Moreau,P. Doyle,1,1.47,2.65
2023-05-18,Demo 5.77,I. Costa,J. Schmidt,1,1.96,1.67
2023-05-20,Demo 5.78,P. Doyle,L. Kowalski,0,2.94,1.41
2023-05-22,Demo 5.79,F. O'Connell,H. Van Dijk,0,2.42,1.47
2023-05-24,Demo 5.80,B. Ferreira,F. O'Connell,1,1.54,2.82
2023-05-26,Demo 5.81,E. Tanaka,H. Van Dijk,0,1.66,1.96
2023-05-28,Demo 5.82,O. Silva,L. Kowalski,0,2.86,1.48
2023-05-30,Demo 5.83,E. Tanaka,P. Doyle,1,1.64,2.4
2023-06-01,Demo 5.84,G. Petrov,J. Schmidt,1,1.88,1.9
2023-06-03,Demo 5.85,I. Costa,N. Berg,0,2.25,1.74
2023-06-05,Demo 5.86,J. Schmidt,N. Berg,1,1.9,1.9
2023-06-07,Demo 5.87,M. Rossi,L. Kowalski,0,2.13,1.7
2023-06-09,Demo 5.88,C. Lindqvist,K. Mbaye,0,2.04,1.81
2023-06-11,Demo 5.89,P. Doyle,M. Rossi,0,2.78,1.48
2023-06-13,Demo 5.90,C. Lindqvist,A. Novak,0,1.79,1.81
2023-06-15,Demo 5.91,G. Petrov,B. Ferreira,1,1.71,2.08
2023-06-17,Demo 5.92,I. Costa,A. Novak,1,1.96,1.89
2023-06-19,Demo 5.93,G. Petrov,K. Mbaye,1,1.85,1.94
2023-06-21,Demo 5.94,N. Berg,P. Doyle,1,1.58,2.72
2023-06-23,Demo 5.95,I. Costa,P. Doyle,1,1.62,2.06
2023-06-25,Demo 5.96,D. Moreau,B. Ferreira,0,1.64,2.35
2023-06-27,Demo 5.97,H. Van Dijk,J. Schmidt,0,2.13,1.78
2023-06-29,Demo 5.98,L. Kowalski,K. Mbaye,1,1.65,2.6
2023-07-01,Demo 5.99,F. O'Connell,M. Rossi,0,2.73,1.34
2023-07-03,Demo 5.100,O. Silva,P. Doyle,1,1.88,1.81
2023-07-05,Demo 5.101,K. Mbaye,N. Berg,1,1.77,1.98
2023-07-07,Demo 5.102,G. Petrov,P. Doyle,1,1.48,2.62
2023-07-09,Demo 5.103,O. Silva,H. Van Dijk,1,2.13,1.72
2023-07-11,Demo 5.104,E. Tanaka,O. Silva,1,1.69,2.14
2023-07-13,Demo 5.105,K. Mbaye,A. Novak,0,1.92,1.99
2023-07-15,Demo 5.106,E. Tanaka,B. Ferreira,1,1.91,1.89
2023-07-17,Demo 5.107,L. Kowalski,O. Silva,1,1.46,2.67
2023-07-19,Demo 5.108,G. Petrov,L. Kowalski,1,2.38,1.56
2023-07-21,Demo 5.109,P. Doyle,N. Berg,0,2.59,1.49
2023-07-23,Demo 5.110,B. Ferreira,L. Kowalski,0,2.76,1.46
2023-07-25,Demo 5.111,K. Mbaye,F. O'Connell,0,1.49,2.55
2023-07-27,Demo 5.112,A. Novak,K. Mbaye,0,2.14,1.72
2023-07-29,Demo 5.113,B. Ferreira,F. O'Connell,1,1.52,2.56
2023-07-31,Demo 5.114,M. Rossi,H. Van Dijk,0,1.62,2.39
2023-08-02,Demo 5.115,N. Berg,E. Tanaka,1,1.84,2.16
2023-08-04,Demo 5.116,M. Rossi,E. Tanaka,1,1.73,2.29
2023-08-06,Demo 5.117,E. Tanaka,M. Rossi,0,2.19,1.65
2023-08-08,Demo 5.118,H. Van Dijk,D. Moreau,1,2.37,1.63
2023-08-10,Demo 5.119,C. Lindqvist,B. Ferreira,1,1.95,1.98
2023-08-12,Demo 5.120,A. Novak,M. Rossi,1,2.16,1.63
2023-08-14,Demo 5.121,O. Silva,J. Schmidt,0,2.3,1.59
2023-08-16,Demo 5.122,C. Lindqvist,B. Ferreira,0,1.87,1.83
2023-08-18,Demo 5.123,E. Tanaka,N. Berg,1,2.08,1.79
2023-08-20,Demo 5.124,P. Doyle,A. Novak,0,2.34,1.65
2023-08-22,Demo 5.125,I. Costa,P. Doyle,1,1.62,2.31
2023-08-24,Demo 5.126,B. Ferreira,E. Tanaka,1,1.95,1.76
2023-08-26,Demo 5.127,I. Costa,A. Novak,1,1.9,1.93
2023-08-28,Demo 5.128,L. Kowalski,N. Berg,1,1.59,2.21
2023-08-30,Demo 5.129,M. Rossi,D. Moreau,0,1.94,1.82
2023-09-01,Demo 5.130,C. Lindqvist,P. Doyle,1,1.53,2.39
2023-09-03,Demo 5.131,A. Novak,P. Doyle,1,1.54,2.39
2023-09-05,Demo 5.132,L. Kowalski,K. Mbaye,1,1.62,2.43
2023-09-07,Demo 5.133,I. Costa,M. Rossi,0,2.31,1.46
2023-09-09,Demo 5.134,I. Costa,D. Moreau,1,2.23,1.64
2023-09-11,Demo 5.135,C. Lindqvist,L. Kowalski,0,2.33,1.55
2023-09-13,Demo 5.136,H. Van Dijk,J. Schmidt,1,1.91,1.78
2023-09-15,Demo 5.137,K. Mbaye,H. Van Dijk,1,1.72,2.33
2023-09-17,Demo 5.138,E. Tanaka,P. Doyle,1,1.51,2.51
2023-09-19,Demo 5.139,N. Berg,O. Silva,0,1.62,2.24
2023-09-21,Demo 5.140,D. Moreau,C. Lindqvist,1,1.56,2.44
2023-09-23,Demo 5.141,K. Mbaye,O. Silva,1,1.61,2.4
2023-09-25,Demo 5.142,I. Costa,C. Lindqvist,0,1.91,1.83
2023-09-27,Demo 5.143,I. Costa,J. Schmidt,1,2.09,1.79
2023-09-29,Demo 5.144,P. Doyle,C. Lindqvist,0,2.51,1.65
2023-10-01,Demo 5.145,L. Kowalski,C. Lindqvist,1,1.57,2.53
2023-10-03,Demo 5.146,A. Novak,O. Silva,1,1.77,2.11
2023-10-05,Demo 5.147,G. Petrov,M. Rossi,0,2.0,1.86
2023-10-07,Demo 5.148,K. Mbaye,N. Berg,1,1.85,1.88
2023-10-09,Demo 5.149,B. Ferreira,J. Schmidt,1,2.13,1.88
2023-10-11,Demo 5.150,B. Ferreira,I. Costa,1,2.05,1.88
2023-10-13,Demo 5.151,H. Van Dijk,I. Costa,1,1.98,1.98
2023-10-15,Demo 5.152,B. Ferreira,D. Moreau,0,2.42,1.58
2023-10-17,Demo 5.153,J. Schmidt,H. Van Dijk,0,1.71,2.16
2023-10-19,Demo 5.154,O. Silva,N. Berg,0,2.22,1.58
2023-10-21,Demo 5.155,F. O'Connell,M. Rossi,0,3.08,1.45
2023-10-23,Demo 5.156,A. Novak,C. Lindqvist,1,1.8,1.99
2023-10-25,Demo 5.157,O. Silva,B. Ferreira,0,2.04,1.66
2023-10-27,Demo 5.158,D. Moreau,B. Ferreira,1,1.66,2.31
2023-10-29,Demo 5.159,M. Rossi,L. Kowalski,0,2.27,1.76
2023-10-31,Demo 5.160,F. O'Connell,O. Silva,0,2.14,1.72
2023-11-02,Demo 5.161,F. O'Connell,N. Berg,1,2.5,1.5
2023-11-04,Demo 5.162,O. Silva,E. Tanaka,0,2.16,1.66
2023-11-06,Demo 5.163,G. Petrov,A. Novak,1,1.75,2.06
2023-11-08,Demo 5.164,A. Novak,J. Schmidt,0,2.02,1.71
2023-11-10,Demo 5.165,P. Doyle,H. Van Dijk,0,2.25,1.64
2023-11-12,Demo 5.166,G. Petrov,A. Novak,1,1.67,2.1
2023-11-14,Demo 5.167,E. Tanaka,N. Berg,0,1.99,1.82
2023-11-16,Demo 5.168,D. Moreau,G. Petrov,0,1.73,2.02
2023-11-18,Demo 5.169,F. O'Connell,H. Van Dijk,1,2.65,1.53
2023-11-20,Demo 5.170,M. Rossi,N. Berg,1,1.77,2.12
2023-11-22,Demo 5.171,J. Schmidt,H. Van Dijk,1,1.68,2.2
2023-11-24,Demo 5.172,G. Petrov,J. Schmidt,1,2.01,2.11
2023-11-26,Demo 5.173,C. Lindqvist,H. Van Dijk,0,1.94,2.0
2023-11-28,Demo 5.174,K. Mbaye,E. Tanaka,1,1.7,2.08
2023-11-30,Demo 5.175,E. Tanaka,J. Schmidt,0,2.06,1.85
2023-12-02,Demo 5.176,H. Van Dijk,L. Kowalski,0,2.59,1.48
2023-12-04,Demo 5.177,O. Silva,K. Mbaye,1,2.59,1.63
2023-12-06,Demo 5.178,B. Ferreira,F. O'Connell,1,1.5,2.66
2023-12-08,Demo 5.179,G. Petrov,L. Kowalski,0,2.14,1.67
2023-12-10,Demo 5.180,A. Novak,B. Ferreira,0,1.96,1.82
2023-12-12,Demo 6.1,A. Novak,N. Berg,1,1.96,1.87
2023-12-14,Demo 6.2,B. Ferreira,K. Mbaye,1,2.04,1.69
2023-12-16,Demo 6.3,K. Mbaye,H. Van Dijk,0,1.78,2.1
2023-12-18,Demo 6.4,K. Mbaye,I. Costa,1,1.71,1.99
2023-12-20,Demo 6.5,L. Kowalski,B. Ferreira,1,1.52,2.39
2023-12-22,Demo 6.6,F. O'Connell,J. Schmidt,0,2.66,1.45
2023-12-24,Demo 6.7,J. Schmidt,L. Kowalski,0,2.59,1.48
2023-12-26,Demo 6.8,L. Kowalski,H. Van Dijk,1,1.52,2.46
2023-12-28,Demo 6.9,F. O'Connell,B. Ferreira,0,2.54,1.47
2023-12-30,Demo 6.10,P. Doyle,O. Silva,0,1.96,1.66
2024-01-01,Demo 6.11,J. Schmidt,M. Rossi,1,2.03,1.63
2024-01-03,Demo 6.12,E. Tanaka,D. Moreau,0,2.5,1.6
2024-01-05,Demo 6.13,D. Moreau,A. Novak,0,1.6,2.26
2024-01-07,Demo 6.14,B. Ferreira,P. Doyle,1,1.64,2.41
2024-01-09,Demo 6.15,J. Schmidt,K. Mbaye,1,2.0,1.87
2024-01-11,Demo 6.16,O. Silva,K. Mbaye,1,2.33,1.55
2024-01-13,Demo 6.17,A. Novak,J. Schmidt,0,2.04,1.85
2024-01-15,Demo 6.18,J. Schmidt,P. Doyle,1,1.49,2.4
2024-01-17,Demo 6.19,K. Mbaye,I. Costa,1,1.72,2.14
2024-01-19,Demo 6.20,B. Ferreira,P. Doyle,1,1.58,2.19
2024-01-21,Demo 6.21,O. Silva,J. Schmidt,1,2.25,1.61
2024-01-23,Demo 6.22,C. Lindqvist,O. Silva,0,1.7,2.2
2024-01-25,Demo 6.23,O. Silva,B. Ferreira,0,2.14,1.74
2024-01-27,Demo 6.24,H. Van Dijk,C. Lindqvist,0,2.12,1.95
2024-01-29,Demo 6.25,M. Rossi,C. Lindqvist,0,1.72,2.2
2024-01-31,Demo 6.26,A. Novak,B. Ferreira,1,1.94,1.85
2024-02-02,Demo 6.27,F. O'Connell,E. Tanaka,1,2.79,1.44
2024-02-04,Demo 6.28,D. Moreau,F. O'Connell,1,1.39,2.83
2024-02-06,Demo 6.29,O. Silva,G. Petrov,0,2.49,1.53
2024-02-08,Demo 6.30,C. Lindqvist,F. O'Connell,1,1.52,2.74
2024-02-10,Demo 6.31,N. Berg,J. Schmidt,1,2.01,1.92
2024-02-12,Demo 6.32,P. Doyle,B. Ferreira,0,2.47,1.6
2024-02-14,Demo 6.33,O. Silva,C. Lindqvist,0,2.12,1.7
2024-02-16,Demo 6.34,M. Rossi,F. O'Connell,1,1.43,2.94
2024-02-18,Demo 6.35,E. Tanaka,O. Silva,0,1.73,2.2
2024-02-20,Demo 6.36,O. Silva,I. Costa,1,2.24,1.75
2024-02-22,Demo 6.37,G. Petrov,K. Mbaye,0,1.91,2.03
2024-02-24,Demo 6.38,N. Berg,L. Kowalski,0,2.46,1.55
2024-02-26,Demo 6.39,A. Novak,J. Schmidt,1,2.03,1.82
2024-02-28,Demo 6.40,B. Ferreira,A. Novak,0,1.89,1.96
2024-03-01,Demo 6.41,J. Schmidt,N. Berg,0,1.89,2.0
2024-03-03,Demo 6.42,M. Rossi,G. Petrov,1,1.76,2.0
2024-03-05,Demo 6.43,E. Tanaka,D. Moreau,0,2.39,1.66
2024-03-07,Demo 6.44,E. Tanaka,C. Lindqvist,1,1.94,1.93
2024-03-09,Demo 6.45,P. Doyle,K. Mbaye,1,2.38,1.56
2024-03-11,Demo 6.46,O. Silva,P. Doyle,0,1.85,2.09
2024-03-13,Demo 6.47,F. O'Connell,H. Van Dijk,0,2.53,1.55
2024-03-15,Demo 6.48,A. Novak,J. Schmidt,0,2.04,1.91
2024-03-17,Demo 6.49,I. Costa,G. Petrov,1,2.23,1.63
2024-03-19,Demo 6.50,L. Kowalski,B. Ferreira,1,1.49,2.58
2024-03-21,Demo 6.51,I. Costa,H. Van Dijk,0,1.89,1.92
2024-03-23,Demo 6.52,C. Lindqvist,K. Mbaye,0,2.04,1.82
2024-03-25,Demo 6.53,B. Ferreira,O. Silva,1,1.61,2.3
2024-03-27,Demo 6.54,K. Mbaye,G. Petrov,1,1.89,1.87
2024-03-29,Demo 6.55,F. O'Connell,A. Novak,0,2.77,1.5
2024-03-31,Demo 6.56,P. Doyle,J. Schmidt,1,2.15,1.5
2024-04-02,Demo 6.57,A. Novak,E. Tanaka,1,1.91,1.89
2024-04-04,Demo 6.58,I. Costa,E. Tanaka,0,1.91,1.86
2024-04-06,Demo 6.59,F. O'Connell,O. Silva,0,2.31,1.62
2024-04-08,Demo 6.60,H. Van Dijk,P. Doyle,1,1.65,2.28
2024-04-10,Demo 6.61,C. Lindqvist,P. Doyle,0,1.66,2.35
2024-04-12,Demo 6.62,M. Rossi,D. Moreau,0,1.93,1.93
2024-04-14,Demo 6.63,L. Kowalski,A. Novak,1,1.58,2.49
2024-04-16,Demo 6.64,J. Schmidt,H. Van Dijk,0,1.75,2.2
2024-04-18,Demo 6.65,M. Rossi,K. Mbaye,1,1.81,2.1
2024-04-20,Demo 6.66,O. Silva,G. Petrov,0,2.27,1.58
2024-04-22,Demo 6.67,B. Ferreira,P. Doyle,0,1.65,2.58
2024-04-24,Demo 6.68,I. Costa,F. O'Connell,1,1.51,2.65
2024-04-26,Demo 6.69,M. Rossi,H. Van Dijk,1,1.69,2.43
2024-04-28,Demo 6.70,K. Mbaye,P. Doyle,1,1.5,2.38
2024-04-30,Demo 6.71,A. Novak,N. Berg,0,1.99,1.83
2024-05-02,Demo 6.72,J. Schmidt,E. Tanaka,1,1.78,2.01
2024-05-04,Demo 6.73,G. Petrov,J. Schmidt,1,1.9,1.98
2024-05-06,Demo 6.74,F. O'Connell,O. Silva,1,2.24,1.59
2024-05-08,Demo 6.75,C. Lindqvist,K. Mbaye,0,1.98,1.8
2024-05-10,Demo 6.76,K. Mbaye,E. Tanaka,1,1.67,2.01
2024-05-12,Demo 6.77,M. Rossi,G. Petrov,0,1.75,2.07
2024-05-14,Demo 6.78,P. Doyle,O. Silva,1,2.14,1.73
2024-05-16,Demo 6.79,D. Moreau,C. Lindqvist,1,1.64,2.22
2024-05-18,Demo 6.80,I. Costa,B. Ferreira,1,1.82,1.84
2024-05-20,Demo 6.81,O. Silva,A. Novak,0,2.23,1.61
2024-05-22,Demo 6.82,I. Costa,C. Lindqvist,0,1.87,1.91
2024-05-24,Demo 6.83,P. Doyle,H. Van Dijk,0,2.19,1.62
2024-05-26,Demo 6.84,A. Novak,G. Petrov,0,2.09,1.79
2024-05-28,Demo 6.85,L. Kowalski,F. O'Connell,1,1.43,2.92
2024-05-30,Demo 6.86,K. Mbaye,B. Ferreira,0,1.74,2.18
2024-06-01,Demo 6.87,G. Petrov,C. Lindqvist,0,1.79,2.15
2024-06-03,Demo 6.88,D. Moreau,K. Mbaye,0,1.86,2.11
2024-06-05,Demo 6.89,O. Silva,L. Kowalski,1,2.76,1.41
2024-06-07,Demo 6.90,M. Rossi,B. Ferreira,0,1.66,2.43
2024-06-09,Demo 6.91,O. Silva,A. Novak,0,2.19,1.65
2024-06-11,Demo 6.92,O. Silva,K. Mbaye,0,2.6,1.6
2024-06-13,Demo 6.93,H. Van Dijk,O. Silva,1,1.68,1.94
2024-06-15,Demo 6.94,B. Ferreira,D. Moreau,0,2.29,1.58
2024-06-17,Demo 6.95,B. Ferreira,O. Silva,1,1.6,2.12
2024-06-19,Demo 6.96,D. Moreau,B. Ferreira,1,1.59,2.42
2024-06-21,Demo 6.97,G. Petrov,P. Doyle,1,1.44,2.63
2024-06-23,Demo 6.98,E. Tanaka,F. O'Connell,0,1.49,2.84
2024-06-25,Demo 6.99,F. O'Connell,P. Doyle,0,2.11,1.69
2024-06-27,Demo 6.100,F. O'Connell,H. Van Dijk,0,2.58,1.54
2024-06-29,Demo 6.101,M. Rossi,P. Doyle,1,1.39,2.4
2024-07-01,Demo 6.102,J. Schmidt,G. Petrov,0,1.98,1.89
2024-07-03,Demo 6.103,E. Tanaka,D. Moreau,0,2.25,1.62
2024-07-05,Demo 6.104,B. Ferreira,J. Schmidt,1,2.28,1.79
2024-07-07,Demo 6.105,J. Schmidt,F. O'Connell,1,1.45,2.33
2024-07-09,Demo 6.106,L. Kowalski,N. Berg,1,1.6,2.45
2024-07-11,Demo 6.107,G. Petrov,E. Tanaka,1,1.72,2.01
2024-07-13,Demo 6.108,P. Doyle,C. Lindqvist,1,2.32,1.61
2024-07-15,Demo 6.109,L. Kowalski,E. Tanaka,1,1.49,2.44
2024-07-17,Demo 6.110,D. Moreau,L. Kowalski,1,2.18,1.73
2024-07-19,Demo 6.111,A. Novak,H. Van Dijk,1,1.85,2.07
2024-07-21,Demo 6.112,N. Berg,D. Moreau,0,2.14,1.71
2024-07-23,Demo 6.113,D. Moreau,F. O'Connell,1,1.39,2.78
2024-07-25,Demo 6.114,C. Lindqvist,H. Van Dijk,1,1.77,1.95
2024-07-27,Demo 6.115,G. Petrov,O. Silva,1,1.58,2.52
2024-07-29,Demo 6.116,L. Kowalski,E. Tanaka,1,1.47,2.41
2024-07-31,Demo 6.117,B. Ferreira,E. Tanaka,1,1.82,1.85
2024-08-02,Demo 6.118,J. Schmidt,P. Doyle,1,1.52,2.82
2024-08-04,Demo 6.119,F. O'Connell,J. Schmidt,1,2.75,1.44
2024-08-06,Demo 6.120,G. Petrov,J. Schmidt,1,1.83,2.0
2024-08-08,Demo 6.121,N. Berg,L. Kowalski,0,2.5,1.55
2024-08-10,Demo 6.122,E. Tanaka,O. Silva,1,1.53,2.19
2024-08-12,Demo 6.123,B. Ferreira,H. Van Dijk,1,1.95,2.07
2024-08-14,Demo 6.124,D. Moreau,H. Van Dijk,1,1.51,2.29
2024-08-16,Demo 6.125,N. Berg,D. Moreau,0,2.13,1.63
2024-08-18,Demo 6.126,J. Schmidt,C. Lindqvist,0,1.74,2.13
2024-08-20,Demo 6.127,A. Novak,H. Van Dijk,0,1.84,1.9
2024-08-22,Demo 6.128,O. Silva,L. Kowalski,0,2.76,1.46
2024-08-24,Demo 6.129,K. Mbaye,I. Costa,1,1.72,2.01
2024-08-26,Demo 6.130,G. Petrov,M. Rossi,0,2.12,1.82
2024-08-28,Demo 6.131,B. Ferreira,I. Costa,0,1.92,1.87
2024-08-30,Demo 6.132,B. Ferreira,F. O'Connell,1,1.56,2.75
2024-09-01,Demo 6.133,G. Petrov,C. Lindqvist,1,1.74,2.36
2024-09-03,Demo 6.134,G. Petrov,M. Rossi,0,2.04,1.71
2024-09-05,Demo 6.135,I. Costa,P. Doyle,1,1.67,2.37
2024-09-07,Demo 6.136,D. Moreau,H. Van Dijk,1,1.61,2.53
2024-09-09,Demo 6.137,J. Schmidt,H. Van Dijk,0,1.84,2.01
2024-09-11,Demo 6.138,C. Lindqvist,D. Moreau,0,2.35,1.62
2024-09-13,Demo 6.139,F. O'Connell,E. Tanaka,1,2.6,1.49
2024-09-15,Demo 6.140,E. Tanaka,N. Berg,1,2.0,1.81
2024-09-17,Demo 6.141,N. Berg,K. Mbaye,1,1.97,1.96
2024-09-19,Demo 6.142,J. Schmidt,D. Moreau,1,2.14,1.72
2024-09-21,Demo 6.143,K. Mbaye,G. Petrov,0,2.01,1.98
2024-09-23,Demo 6.144,O. Silva,H. Van Dijk,1,2.02,1.64
2024-09-25,Demo 6.145,F. O'Connell,M. Rossi,0,2.69,1.42
2024-09-27,Demo 6.146,L. Kowalski,E. Tanaka,1,1.47,2.31
2024-09-29,Demo 6.147,J. Schmidt,C. Lindqvist,0,1.83,2.03
2024-10-01,Demo 6.148,H. Van Dijk,B. Ferreira,1,1.96,1.83
2024-10-03,Demo 6.149,I. Costa,F. O'Connell,1,1.47,2.59
2024-10-05,Demo 6.150,L. Kowalski,H. Van Dijk,1,1.48,2.51
2024-10-07,Demo 6.151,A. Novak,G. Petrov,0,2.2,1.69
